TABLEU,C1_AGE,C1_RANKING,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_HANDNESS,C2_WEAPON,WINNER
32,25,321,0.0,1.0,20,107,1.0,1.0,1.0
32,22,194,1.0,1.0,22,53,1.0,1.0,1.0
32,25,191,0.0,1.0,18,277,1.0,1.0,0.0
32,27,276,0.0,1.0,25,293,0.0,1.0,0.0
32,20,445,0.0,1.0,24,381,1.0,1.0,1.0
32,21,134,1.0,1.0,20,283,0.0,1.0,1.0
32,31,131,0.0,1.0,16,432,0.0,1.0,0.0
32,23,327,0.0,1.0,29,306,1.0,1.0,1.0
32,19,106,1.0,1.0,25,322,0.0,1.0,0.0
32,21,427,0.0,1.0,30,31,0.0,1.0,1.0
16,24,19,0.0,1.0,28,88,0.0,1.0,0.0
16,20,385,0.0,1.0,25,63,0.0,1.0,1.0
16,19,292,0.0,1.0,20,107,1.0,1.0,1.0
16,25,191,0.0,1.0,27,276,0.0,1.0,0.0
16,24,381,1.0,1.0,20,283,0.0,1.0,1.0
16,31,131,0.0,1.0,29,306,1.0,1.0,0.0
16,19,106,1.0,1.0,30,31,0.0,1.0,1.0
8,24,19,0.0,1.0,25,63,0.0,1.0,0.0
8,20,107,1.0,1.0,22,53,1.0,1.0,0.0
8,25,191,0.0,1.0,20,283,0.0,1.0,0.0
8,31,131,0.0,1.0,30,31,0.0,1.0,1.0
4,24,19,0.0,1.0,20,107,1.0,1.0,0.0
4,25,191,0.0,1.0,30,31,0.0,1.0,1.0
2,24,19,0.0,1.0,30,31,0.0,1.0,0.0
32,24,9,1.0,2.0,26,28,0.0,2.0,0.0
32,16,275,1.0,2.0,25,394,0.0,2.0,0.0
32,33,25,0.0,2.0,21,437,0.0,2.0,0.0
32,31,105,1.0,2.0,30,77,0.0,2.0,1.0
32,28,142,0.0,2.0,23,95,1.0,2.0,0.0
32,20,369,0.0,2.0,20,322,1.0,2.0,0.0
32,22,89,1.0,2.0,21,299,1.0,2.0,0.0
32,21,103,1.0,2.0,19,297,0.0,2.0,1.0
32,23,261,0.0,2.0,21,208,0.0,2.0,1.0
32,29,88,0.0,2.0,35,212,0.0,2.0,0.0
32,21,134,0.0,2.0,24,130,1.0,2.0,1.0
32,22,379,0.0,2.0,26,43,0.0,2.0,1.0
32,28,18,0.0,2.0,23,69,0.0,2.0,0.0
32,25,433,0.0,2.0,22,367,0.0,2.0,1.0
32,27,16,0.0,2.0,22,426,0.0,2.0,0.0
16,24,9,1.0,2.0,16,275,1.0,2.0,0.0
16,33,25,0.0,2.0,30,77,0.0,2.0,1.0
16,28,142,0.0,2.0,20,369,0.0,2.0,0.0
16,22,89,1.0,2.0,19,297,0.0,2.0,0.0
16,29,88,0.0,2.0,24,130,1.0,2.0,0.0
16,26,43,0.0,2.0,28,18,0.0,2.0,1.0
16,22,367,0.0,2.0,27,16,0.0,2.0,1.0
8,24,9,1.0,2.0,30,77,0.0,2.0,0.0
8,28,142,0.0,2.0,22,89,1.0,2.0,0.0
8,28,18,0.0,2.0,27,16,0.0,2.0,0.0
4,24,9,1.0,2.0,28,142,0.0,2.0,0.0
4,29,88,0.0,2.0,28,18,0.0,2.0,1.0
2,24,9,1.0,2.0,28,18,0.0,2.0,0.0
32,23,337,0.0,0.0,24,119,0.0,0.0,1.0
32,22,318,0.0,0.0,17,361,0.0,0.0,0.0
32,28,363,0.0,0.0,22,148,1.0,0.0,1.0
32,24,210,0.0,0.0,16,372,0.0,0.0,0.0
32,32,334,0.0,0.0,26,326,0.0,0.0,1.0
32,37,335,0.0,0.0,18,288,0.0,0.0,1.0
32,22,375,0.0,0.0,18,315,0.0,0.0,1.0
32,24,24,0.0,0.0,26,379,0.0,0.0,0.0
32,19,346,1.0,0.0,19,305,0.0,0.0,1.0
32,22,324,0.0,0.0,22,341,0.0,0.0,0.0
32,16,371,0.0,0.0,21,282,0.0,0.0,1.0
32,23,200,0.0,0.0,40,366,0.0,0.0,0.0
32,30,358,0.0,0.0,29,78,0.0,0.0,1.0
32,22,176,0.0,0.0,23,306,0.0,0.0,0.0
32,16,379,0.0,0.0,20,189,0.0,0.0,1.0
16,21,53,0.0,0.0,24,119,0.0,0.0,0.0
16,22,318,0.0,0.0,22,148,1.0,0.0,1.0
16,24,210,0.0,0.0,26,326,0.0,0.0,0.0
16,18,288,0.0,0.0,18,315,0.0,0.0,0.0
16,24,24,0.0,0.0,19,305,0.0,0.0,0.0
16,22,324,0.0,0.0,21,282,0.0,0.0,1.0
16,23,200,0.0,0.0,29,78,0.0,0.0,0.0
16,22,176,0.0,0.0,20,189,0.0,0.0,0.0
8,21,53,0.0,0.0,22,148,1.0,0.0,0.0
8,24,210,0.0,0.0,18,288,0.0,0.0,0.0
8,24,24,0.0,0.0,21,282,0.0,0.0,0.0
8,23,200,0.0,0.0,22,176,0.0,0.0,1.0
4,21,53,0.0,0.0,24,210,0.0,0.0,0.0
4,24,24,0.0,0.0,22,176,0.0,0.0,0.0
2,21,53,0.0,0.0,24,24,0.0,0.0,1.0
32,21,77,0.0,1.0,18,338,0.0,1.0,0.0
32,26,124,0.0,1.0,17,373,0.0,1.0,0.0
32,24,327,0.0,1.0,18,312,0.0,1.0,1.0
32,18,196,1.0,1.0,24,275,0.0,1.0,0.0
32,21,106,0.0,1.0,20,179,0.0,1.0,0.0
32,24,349,1.0,1.0,22,193,0.0,1.0,1.0
32,41,313,0.0,1.0,31,22,0.0,1.0,1.0
32,34,97,0.0,1.0,29,253,0.0,1.0,0.0
32,27,265,0.0,1.0,20,264,1.0,1.0,1.0
32,18,117,1.0,1.0,17,367,0.0,1.0,0.0
32,18,341,1.0,1.0,21,107,0.0,1.0,0.0
32,30,150,1.0,1.0,17,390,0.0,1.0,0.0
32,28,369,0.0,1.0,23,210,1.0,1.0,1.0
32,25,214,0.0,1.0,24,121,1.0,1.0,1.0
32,23,345,0.0,1.0,26,53,0.0,1.0,1.0
16,26,124,0.0,1.0,18,312,0.0,1.0,0.0
16,18,196,1.0,1.0,21,106,0.0,1.0,0.0
16,22,193,0.0,1.0,31,22,0.0,1.0,1.0
